prompt_id,model,dataset,weight,score,cost
AIME_1,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_10,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_11,cogito-v1-preview-llama-8B,AIME,0.004166666666666667,1.0,0.0
AIME_12,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_13,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_14,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_15,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_16,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_17,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_18,glm-4.6,AIME,0.004166666666666667,1.0,0.0998484
AIME_19,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_2,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_20,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_21,gpt-5-chat,AIME,0.004166666666666667,1.0,0.0015135625
AIME_22,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_23,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_24,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_25,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_26,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_27,DeepSeek-R1-0528-Qwen3-8B,AIME,0.004166666666666667,1.0,0.00198636
AIME_28,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_29,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_3,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_30,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_31,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_32,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_33,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_34,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_35,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_36,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_37,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_38,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_39,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_4,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_40,Qwen3-8B,AIME,0.004166666666666667,1.0,0.003846904
AIME_41,gpt-5-chat,AIME,0.004166666666666667,1.0,0.0015476875
AIME_42,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_43,qwen3-235b-a22b-thinking-2507,AIME,0.004166666666666667,1.0,0.0342
AIME_44,cogito-v1-preview-llama-8B,AIME,0.004166666666666667,0.0,0.0
AIME_45,gemini-2.5-flash,AIME,0.004166666666666667,1.0,0.0345418
AIME_46,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_47,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_48,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_49,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_5,NVIDIA-Nemotron-Nano-9B-v2,AIME,0.004166666666666667,1.0,0.00245032
AIME_50,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_51,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_52,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_53,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_54,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_55,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_56,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_57,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_58,Intern-S1-mini,AIME,0.004166666666666667,1.0,0.003714433
AIME_59,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_6,cogito-v1-preview-llama-8B,AIME,0.004166666666666667,0.0,0.0
AIME_60,qwen3-235b-a22b-thinking-2507,AIME,0.004166666666666667,1.0,0.0505482
AIME_7,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.00970465
AIME_8,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_9,glm-4-9b-chat,AIME,0.004166666666666667,1.0,0.0
GPQA_10,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_100,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_101,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_107,granite-3.3-8b-instruct,GPQA,0.004166666666666667,1.0,0.0
GPQA_109,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_111,kimi-k2-0905,GPQA,0.004166666666666667,1.0,0.005444
GPQA_116,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_117,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_118,qwen3-235b-a22b-2507,GPQA,0.004166666666666667,1.0,0.00024164
GPQA_132,granite-3.3-8b-instruct,GPQA,0.004166666666666667,1.0,0.0
GPQA_133,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_143,Llama-3.1-8B-Instruct,GPQA,0.004166666666666667,1.0,2.11e-05
GPQA_144,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_15,glm-4-9b-chat,GPQA,0.004166666666666667,1.0,0.0
GPQA_153,internlm3-8b-instruct,GPQA,0.004166666666666667,1.0,0.0
GPQA_154,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_155,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_156,internlm3-8b-instruct,GPQA,0.004166666666666667,1.0,0.0
GPQA_158,glm-4-9b-chat,GPQA,0.004166666666666667,1.0,0.0
GPQA_159,MiniCPM4.1-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_160,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_162,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_164,MiniCPM4.1-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_165,glm-4-9b-chat,GPQA,0.004166666666666667,1.0,0.0
GPQA_167,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_172,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_183,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_185,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_186,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_189,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_190,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_197,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_2,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_20,glm-4-9b-chat,GPQA,0.004166666666666667,1.0,0.0
GPQA_21,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_28,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_41,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_43,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_44,DeepSeek-R1-Distill-Qwen-7B,GPQA,0.004166666666666667,1.0,0.0001517
GPQA_49,MiniCPM4.1-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_53,granite-3.3-8b-instruct,GPQA,0.004166666666666667,1.0,0.0
GPQA_56,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_60,MiniCPM4.1-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_64,granite-3.3-8b-instruct,GPQA,0.004166666666666667,1.0,0.0
GPQA_66,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_67,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_68,glm-4-9b-chat,GPQA,0.004166666666666667,1.0,0.0
GPQA_69,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_70,GLM-Z1-9B-0414,GPQA,0.004166666666666667,1.0,0.0
GPQA_76,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_78,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_80,MiniCPM4.1-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_82,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_84,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_87,glm-4-9b-chat,GPQA,0.004166666666666667,1.0,0.0
GPQA_88,glm-4-9b-chat,GPQA,0.004166666666666667,1.0,0.0
GPQA_89,OpenThinker3-7B,GPQA,0.004166666666666667,1.0,0.0
GPQA_90,internlm3-8b-instruct,GPQA,0.004166666666666667,1.0,0.0
GPQA_91,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_99,internlm3-8b-instruct,GPQA,0.004166666666666667,1.0,0.0
LCB_1009,qwen3-235b-a22b-thinking-2507,LCB,0.004166666666666667,1.0,0.0350844
LCB_1015,cogito-v1-preview-llama-8B,LCB,0.004166666666666667,1.0,0.0
LCB_12,MiniCPM4.1-8B,LCB,0.004166666666666667,1.0,0.0
LCB_127,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_141,MiniCPM4.1-8B,LCB,0.004166666666666667,1.0,0.0
LCB_15,cogito-v1-preview-llama-8B,LCB,0.004166666666666667,1.0,0.0
LCB_159,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_160,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_178,Qwen2.5-Coder-7B-Instruct,LCB,0.004166666666666667,1.0,0.0
LCB_189,cogito-v1-preview-llama-8B,LCB,0.004166666666666667,1.0,0.0
LCB_19,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_190,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_201,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_203,glm-4-9b-chat,LCB,0.004166666666666667,1.0,0.0
LCB_206,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_212,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_215,MiniCPM4.1-8B,LCB,0.004166666666666667,1.0,0.0
LCB_218,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_221,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_235,MiniCPM4.1-8B,LCB,0.004166666666666667,1.0,0.0
LCB_24,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_251,OpenThinker3-7B,LCB,0.004166666666666667,1.0,0.0
LCB_252,internlm3-8b-instruct,LCB,0.004166666666666667,1.0,0.0
LCB_26,Qwen2.5-Coder-7B-Instruct,LCB,0.004166666666666667,1.0,0.0
LCB_267,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_274,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_278,MiniCPM4.1-8B,LCB,0.004166666666666667,1.0,0.0
LCB_296,glm-4-9b-chat,LCB,0.004166666666666667,1.0,0.0
LCB_301,cogito-v1-preview-llama-8B,LCB,0.004166666666666667,1.0,0.0
LCB_323,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_335,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_337,MiniCPM4.1-8B,LCB,0.004166666666666667,1.0,0.0
LCB_34,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_38,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_41,GLM-Z1-9B-0414,LCB,0.004166666666666667,1.0,0.0
LCB_426,MiniCPM4.1-8B,LCB,0.004166666666666667,1.0,0.0
