prompt_id,model,dataset,weight,score,cost
AIME_1,gpt-5,AIME,0.004166666666666667,1.0,0.01516125
AIME_2,gpt-5,AIME,0.004166666666666667,1.0,0.03823125
AIME_3,gpt-5,AIME,0.004166666666666667,1.0,0.00937125
AIME_4,gpt-5,AIME,0.004166666666666667,1.0,0.0183075
AIME_5,gpt-5,AIME,0.004166666666666667,1.0,0.1380825
AIME_6,gpt-5,AIME,0.004166666666666667,0.0,0.24732875
AIME_7,gpt-5,AIME,0.004166666666666667,1.0,0.1125525
AIME_8,gpt-5,AIME,0.004166666666666667,1.0,0.044
AIME_9,gpt-5,AIME,0.004166666666666667,1.0,0.02295875
AIME_10,gpt-5,AIME,0.004166666666666667,1.0,0.01541125
AIME_11,gpt-5,AIME,0.004166666666666667,1.0,0.0142925
AIME_12,gpt-5,AIME,0.004166666666666667,1.0,0.0224
AIME_13,gpt-5,AIME,0.004166666666666667,1.0,0.01046125
AIME_14,gpt-5,AIME,0.004166666666666667,1.0,0.06409375
AIME_15,gpt-5,AIME,0.004166666666666667,1.0,0.01032375
AIME_16,gpt-5,AIME,0.004166666666666667,1.0,0.07650625
AIME_17,gpt-5,AIME,0.004166666666666667,1.0,0.0324975
AIME_18,gpt-5,AIME,0.004166666666666667,0.0,0.0932625
AIME_19,gpt-5,AIME,0.004166666666666667,1.0,0.04342375
AIME_20,gpt-5,AIME,0.004166666666666667,1.0,0.07583875
AIME_21,gpt-5,AIME,0.004166666666666667,1.0,0.10382
AIME_22,gpt-5,AIME,0.004166666666666667,0.0,0.1605675
AIME_23,gpt-5,AIME,0.004166666666666667,1.0,0.1634775
AIME_24,gpt-5,AIME,0.004166666666666667,1.0,0.030175
AIME_25,gpt-5,AIME,0.004166666666666667,1.0,0.01507
AIME_26,gpt-5,AIME,0.004166666666666667,1.0,0.21991
AIME_27,gpt-5,AIME,0.004166666666666667,1.0,0.09976625
AIME_28,gpt-5,AIME,0.004166666666666667,1.0,0.06579625
AIME_29,gpt-5,AIME,0.004166666666666667,1.0,0.044245
AIME_30,gpt-5,AIME,0.004166666666666667,0.0,0.0
AIME_31,gpt-5,AIME,0.004166666666666667,1.0,0.00803375
AIME_32,gpt-5,AIME,0.004166666666666667,1.0,0.06074625
AIME_33,gpt-5,AIME,0.004166666666666667,1.0,0.0138625
AIME_34,gpt-5,AIME,0.004166666666666667,1.0,0.01818125
AIME_35,gpt-5,AIME,0.004166666666666667,1.0,0.04872125
AIME_36,gpt-5,AIME,0.004166666666666667,1.0,0.018935
AIME_37,gpt-5,AIME,0.004166666666666667,1.0,0.0972275
AIME_38,gpt-5,AIME,0.004166666666666667,1.0,0.02066875
AIME_39,gpt-5,AIME,0.004166666666666667,1.0,0.15026875
AIME_40,gpt-5,AIME,0.004166666666666667,1.0,0.20853625
AIME_41,gpt-5,AIME,0.004166666666666667,1.0,0.1352625
AIME_42,gpt-5,AIME,0.004166666666666667,1.0,0.0632325
AIME_43,gpt-5,AIME,0.004166666666666667,1.0,0.13567125
AIME_44,gpt-5,AIME,0.004166666666666667,0.0,0.22942
AIME_45,gpt-5,AIME,0.004166666666666667,0.0,0.28613125
AIME_46,gpt-5,AIME,0.004166666666666667,1.0,0.01268625
AIME_47,gpt-5,AIME,0.004166666666666667,1.0,0.012465
AIME_48,gpt-5,AIME,0.004166666666666667,1.0,0.14681375
AIME_49,gpt-5,AIME,0.004166666666666667,1.0,0.02005875
AIME_50,gpt-5,AIME,0.004166666666666667,0.0,0.14720125
AIME_51,gpt-5,AIME,0.004166666666666667,1.0,0.03563125
AIME_52,gpt-5,AIME,0.004166666666666667,1.0,0.03195625
AIME_53,gpt-5,AIME,0.004166666666666667,1.0,0.05464
AIME_54,gpt-5,AIME,0.004166666666666667,1.0,0.05215
AIME_55,gpt-5,AIME,0.004166666666666667,1.0,0.025305
AIME_56,gpt-5,AIME,0.004166666666666667,1.0,0.05107
AIME_57,gpt-5,AIME,0.004166666666666667,1.0,0.0351725
AIME_58,gpt-5,AIME,0.004166666666666667,1.0,0.19841
AIME_59,gpt-5,AIME,0.004166666666666667,1.0,0.0923825
AIME_60,gpt-5,AIME,0.004166666666666667,1.0,0.150935
GPQA_2,gpt-5,GPQA,0.004166666666666667,1.0,0.0370225
GPQA_10,gpt-5,GPQA,0.004166666666666667,1.0,0.00843
GPQA_15,gpt-5,GPQA,0.004166666666666667,1.0,0.0113325
GPQA_20,gpt-5,GPQA,0.004166666666666667,1.0,0.0108825
GPQA_21,gpt-5,GPQA,0.004166666666666667,1.0,0.0199425
GPQA_28,gpt-5,GPQA,0.004166666666666667,1.0,0.0584875
GPQA_41,gpt-5,GPQA,0.004166666666666667,1.0,0.0096825
GPQA_43,gpt-5,GPQA,0.004166666666666667,1.0,0.06307125
GPQA_44,gpt-5,GPQA,0.004166666666666667,1.0,0.01295625
GPQA_49,gpt-5,GPQA,0.004166666666666667,0.0,0.0932125
GPQA_53,gpt-5,GPQA,0.004166666666666667,1.0,0.0334625
GPQA_56,gpt-5,GPQA,0.004166666666666667,1.0,0.06739125
GPQA_60,gpt-5,GPQA,0.004166666666666667,1.0,0.01397625
GPQA_64,gpt-5,GPQA,0.004166666666666667,1.0,0.03740375
GPQA_66,gpt-5,GPQA,0.004166666666666667,1.0,0.0084375
GPQA_67,gpt-5,GPQA,0.004166666666666667,1.0,0.0085375
GPQA_68,gpt-5,GPQA,0.004166666666666667,1.0,0.01771125
